date,event,favors,category,major
1870-07-02,Hohenzollern candidature for the Spanish throne becomes public,conflict,political,1
1870-07-13,Ems telegram published; war fever in Paris and Berlin,conflict,political,1
1870-07-19,France declares war on Prussia,conflict,political,1
1870-08-04,Wissembourg: first German victory on French soil,Germany,military,1
1870-08-06,Woerth and Spicheren: French driven from Alsace,Germany,military,1
1870-08-18,Gravelotte-St Privat; Bazaine shut up in Metz,Germany,military,1
1870-09-02,Sedan: MacMahon's army surrenders; Napoleon III captured,Germany,military,1
1870-09-04,Republic proclaimed in Paris; Government of National Defence,conflict,political,1
1870-09-19,Siege of Paris begins,Germany,military,1
1870-10-25,French 6% Morgan loan for 10m pounds floated in London,France,financial,1
1870-10-27,Metz capitulates: Bazaine surrenders 180000 men,Germany,military,1
1870-12-27,Bombardment of Paris forts begins,Germany,military,0
1871-01-18,German Empire proclaimed at Versailles,Germany,political,1
1871-01-28,Paris capitulates; general armistice,Germany,military,1
1871-02-26,Versailles preliminaries: 5bn franc indemnity and Alsace-Lorraine cession,Germany,political,1
1871-03-18,Paris Commune seizes power,conflict,political,1
1871-05-10,Treaty of Frankfurt signed,neutral,political,1
1871-05-28,Bloody Week ends: Commune crushed,France,military,1
1871-06-27,First Thiers rente (2bn francs) heavily oversubscribed,France,financial,1
1872-07-15,Second Thiers loan (3.5bn francs) oversubscribed roughly twelvefold,France,financial,1
1873-09-16,Last German occupation troops leave France after early payment of the indemnity,France,political,1
