date,event,favors,category,major
1980-09-22,Iraq invades Iran,Iraq,military,1
1980-11-10,Iraq takes Khorramshahr after siege,Iraq,military,1
1981-09-29,Iran breaks the siege of Abadan,Iran,military,1
1982-05-24,Iran recaptures Khorramshahr,Iran,military,1
1982-07-13,Iran invades Iraq (Operation Ramadan toward Basra),Iran,military,1
1984-02-22,First Battle of the Marshes / Majnoon islands,Iran,military,0
1984-04-25,Tanker war intensifies in the Gulf,neither,military,1
1986-02-11,Iran captures the al-Faw peninsula,Iran,military,1
1987-01-09,Karbala-5 offensive toward Basra (huge casualties),Iran,military,1
1987-05-17,USS Stark hit; US reflags Kuwaiti tankers,Iraq,political,1
1988-03-16,Halabja chemical attack; War of the Cities,Iraq,military,0
1988-04-18,Iraq recaptures al-Faw; US Operation Praying Mantis,Iraq,military,1
1988-07-03,USS Vincennes downs Iran Air 655,Iraq,political,0
1988-07-18,Iran accepts UN Resolution 598,Iraq,political,1
1988-08-20,Ceasefire: war ends,neither,political,1
