date,event,favors,category,major
1863-03-30,March Patent binds Schleswig closer to Denmark; German Confederation protests,conflict,political,1
1863-07-09,German Confederation demands repeal of the March Patent,conflict,political,0
1863-10-01,German Confederation votes federal execution against Holstein,conflict,political,1
1863-11-13,Rigsraad adopts the November Constitution incorporating Schleswig,conflict,political,1
1863-11-15,Frederik VII dies; Christian IX accedes amid succession crisis (Augustenburg claim),conflict,political,1
1863-11-18,Christian IX signs the November Constitution,conflict,political,1
1863-12-24,Federal execution: Saxon and Hanoverian troops occupy Holstein unopposed,Germany,military,1
1864-01-14,Danish 5% war loan for 1.2m pounds announced in London (Hambro),Denmark,financial,1
1864-01-16,Austro-Prussian ultimatum: repeal the November Constitution within 48 hours,Germany,political,1
1864-02-01,Prussian and Austrian armies cross the Eider: war begins,Germany,military,1
1864-02-06,Danes abandon the Dannevirke line overnight without a battle,Germany,military,1
1864-02-18,Prussian hussars push into Jutland (Kolding): war spreads beyond Schleswig,Germany,military,1
1864-03-11,Britain secures agreement in principle to a conference in London,Denmark,political,0
1864-04-18,Storming of Dybboel: Prussians take the entrenchments,Germany,military,1
1864-04-25,London Conference opens; armistice from 12 May,Denmark,political,1
1864-05-09,Battle of Heligoland: Danish naval squadron drives off Austrians,Denmark,military,0
1864-06-25,London Conference collapses with no settlement,Germany,political,1
1864-06-26,War resumes at the end of the armistice,Germany,military,1
1864-06-29,Prussians storm across to Als island; Danish army broken,Germany,military,1
1864-07-11,Peace ministry under Bluhme replaces Monrad; Denmark seeks terms,Germany,political,1
1864-07-20,Ceasefire ahead of peace negotiations,Denmark,political,1
1864-08-01,Peace preliminaries: Christian IX renounces Schleswig Holstein and Lauenburg,Germany,political,1
1864-10-30,Treaty of Vienna signed: Denmark cedes the three duchies (two-fifths of the monarchy),Germany,political,1
1865-08-14,Gastein Convention divides administration of the duchies between Austria and Prussia,neutral,political,0
