date,event,favors,category,major
1954-05-07,Dien Bien Phu falls (First Indochina War),North,military,1
1954-07-21,Geneva Accords partition Vietnam,North,political,1
1963-11-02,Diem assassinated in coup,North,political,1
1964-08-04,Gulf of Tonkin incident and resolution,South,political,1
1965-03-08,First US combat troops land at Da Nang,South,military,1
1968-01-30,Tet Offensive begins,North,military,1
1968-03-31,Johnson announces bombing halt & withdrawal from race,North,political,1
1969-06-08,Vietnamization announced,North,political,1
1970-04-29,Cambodian incursion,South,military,0
1972-03-30,Easter Offensive begins,North,military,1
1972-12-18,Linebacker II bombing of Hanoi,South,military,0
1973-01-27,Paris Peace Accords signed; US withdrawal,North,political,1
1974-08-09,Nixon resigns; US aid to Saigon cut,North,political,1
1975-03-10,Ban Me Thuot falls; central highlands collapse,North,military,1
1975-04-30,Fall of Saigon,North,military,1
