date,series,price,flag,source_issue
1863-05-28,4% Loan 1863,91.5,,1863-05-30
1863-06-26,4% Loan 1863,88.0,xd,1863-06-27
1863-09-23,4% Loan 1863,91.5,,1863-09-26
1863-11-04,4% Loan 1863,89.5,,1863-11-07
1863-12-15,3% 1825,84.0,,1863-12-19
1864-01-15,3% 1825,81.5,,1864-01-16
1864-01-19,3% 1825,82.0,,1864-01-23
1864-05-19,5% Loan 1864,93.375,,1864-05-21
1864-06-07,4% Loan 1863,80.0,,1864-06-11
1864-06-08,3% 1825,78.0,,1864-06-11
1864-06-17,5% Loan 1864,95.5,,1864-06-18
1864-07-11,5% Loan 1864,90.75,xd,1864-07-16
1864-07-25,5% Loan 1864,92.0,xd,1864-07-30
1864-08-09,3% 1825,78.25,,1864-08-13
1864-08-18,5% Loan 1864,92.0,,1864-08-20
1864-08-29,4% Loan 1863,81.0,,1864-09-03
1864-08-31,3% 1825,74.0,,1864-09-03
1864-09-02,3% 1825,74.25,,1864-09-03
1864-09-05,3% 1825,74.0,,1864-09-10
1864-09-22,5% Loan 1864,92.5,,1864-09-24
1864-11-10,5% Loan 1864,94.0,,1864-11-12
1864-11-24,5% Loan 1864,95.0,,1864-11-26
1864-12-30,3% 1825,80.0,,1864-12-31
1864-12-30,4% Loan 1863,80.0,,1864-12-31
1865-02-22,4% Loan 1863,81.0,,1865-02-25
1865-03-23,3% 1825,80.5,,1865-03-25
1865-03-24,5% Loan 1864,98.0,,1865-03-25
1865-05-22,4% Loan 1863,85.0,,1865-05-27
