date,issuer,series,price
1879-05-31,Austria,4% Gold Rentes,69.0
1879-06-30,Austria,4% Gold Rentes,67.5
1879-07-31,Austria,4% Gold Rentes,68.75
1879-08-31,Austria,4% Gold Rentes,68.25
1879-09-30,Austria,4% Gold Rentes,70.0
1879-10-31,Austria,4% Gold Rentes,69.0
1879-11-30,Austria,4% Gold Rentes,68.75
1879-12-31,Austria,4% Gold Rentes,70.0
1880-01-31,Austria,4% Gold Rentes,74.0
1880-02-29,Austria,4% Gold Rentes,73.5
1880-03-31,Austria,4% Gold Rentes,75.0
1880-04-30,Austria,4% Gold Rentes,74.0
1880-05-31,Austria,4% Gold Rentes,74.5
1880-06-30,Austria,4% Gold Rentes,76.5
1880-07-31,Austria,4% Gold Rentes,74.0
1880-08-31,Austria,4% Gold Rentes,76.0
1880-09-30,Austria,4% Gold Rentes,75.5
1880-10-31,Austria,4% Gold Rentes,73.0
1880-11-30,Austria,4% Gold Rentes,74.0
1880-12-31,Austria,4% Gold Rentes,74.5
1881-01-31,Austria,4% Gold Rentes,75.5
1881-02-28,Austria,4% Gold Rentes,78.0
1881-03-31,Austria,4% Gold Rentes,80.0
1881-04-30,Austria,4% Gold Rentes,80.0
1881-05-31,Austria,4% Gold Rentes,81.5
1881-06-30,Austria,4% Gold Rentes,81.5
1881-07-31,Austria,4% Gold Rentes,81.5
1881-08-31,Austria,4% Gold Rentes,81.5
1881-09-30,Austria,4% Gold Rentes,81.5
1881-10-31,Austria,4% Gold Rentes,79.0
1881-11-30,Austria,4% Gold Rentes,80.0
1881-12-31,Austria,4% Gold Rentes,79.0
1882-01-31,Austria,4% Gold Rentes,77.0
1882-02-28,Austria,4% Gold Rentes,78.0
1882-03-31,Austria,4% Gold Rentes,79.0
1882-04-30,Austria,4% Gold Rentes,78.0
1882-05-31,Austria,4% Gold Rentes,80.0
1882-06-30,Austria,4% Gold Rentes,78.0
1882-07-31,Austria,4% Gold Rentes,80.0
1882-08-31,Austria,4% Gold Rentes,81.0
1882-09-30,Austria,4% Gold Rentes,82.0
1882-10-31,Austria,4% Gold Rentes,80.0
1882-11-30,Austria,4% Gold Rentes,80.0
1882-12-31,Austria,4% Gold Rentes,80.0
1883-01-31,Austria,4% Gold Rentes,81.0
1883-02-28,Austria,4% Gold Rentes,82.0
1883-03-31,Austria,4% Gold Rentes,84.0
1883-04-30,Austria,4% Gold Rentes,83.0
1883-05-31,Austria,4% Gold Rentes,83.0
1883-06-30,Austria,4% Gold Rentes,84.0
1883-07-31,Austria,4% Gold Rentes,84.0
1883-08-31,Austria,4% Gold Rentes,84.0
1883-09-30,Austria,4% Gold Rentes,86.0
1883-10-31,Austria,4% Gold Rentes,83.0
1883-11-30,Austria,4% Gold Rentes,82.0
1883-12-31,Austria,4% Gold Rentes,82.0
1884-01-31,Austria,4% Gold Rentes,83.0
1884-02-29,Austria,4% Gold Rentes,84.0
1884-03-31,Austria,4% Gold Rentes,86.0
1884-04-30,Austria,4% Gold Rentes,84.0
1884-05-31,Austria,4% Gold Rentes,84.0
1884-06-30,Austria,4% Gold Rentes,84.0
1884-07-31,Austria,4% Gold Rentes,86.0
1884-08-31,Austria,4% Gold Rentes,87.0
