date,market,issuer,price
1933-12-31,Stockholm,Belgium,110.58333333333333
1934-01-31,Stockholm,Belgium,110.91666666666667
1934-02-28,Stockholm,Belgium,111.25
1934-03-31,Stockholm,Belgium,112.83333333333333
1934-04-30,Stockholm,Belgium,112.91666666666667
1934-05-31,Stockholm,Belgium,110.0
1934-06-30,Stockholm,Belgium,109.58333333333333
1934-07-31,Stockholm,Belgium,110.16666666666667
1934-08-31,Stockholm,Belgium,110.75
1934-09-30,Stockholm,Belgium,113.08333333333333
1934-10-31,Stockholm,Belgium,113.41666666666667
1934-11-30,Stockholm,Belgium,109.0
1934-12-31,Stockholm,Belgium,109.58333333333333
1935-01-31,Stockholm,Belgium,110.16666666666667
1935-02-28,Stockholm,Belgium,110.75
1935-03-31,Stockholm,Belgium,110.33333333333333
1935-04-30,Stockholm,Belgium,109.91666666666667
1935-05-31,Stockholm,Belgium,106.75
1935-06-30,Stockholm,Belgium,107.58333333333333
1935-07-31,Stockholm,Belgium,108.16666666666667
1935-08-31,Stockholm,Belgium,108.25
1935-09-30,Stockholm,Belgium,108.83333333333333
1935-10-31,Stockholm,Belgium,108.66666666666667
1935-11-30,Stockholm,Belgium,107.0
1935-12-31,Stockholm,Belgium,106.58333333333333
1936-01-31,Stockholm,Belgium,107.41666666666667
1936-02-29,Stockholm,Belgium,108.5
1936-03-31,Stockholm,Belgium,109.88342440801456
1936-04-30,Stockholm,Belgium,108.367790967904
1936-05-31,Stockholm,Belgium,106.56797625777274
1936-06-30,Stockholm,Belgium,105.52597826769673
1936-07-31,Stockholm,Belgium,111.87269329815965
1936-08-31,Stockholm,Belgium,107.70470133785564
1936-09-30,Stockholm,Belgium,108.367790967904
1936-10-31,Stockholm,Belgium,108.46251805791093
1936-11-30,Stockholm,Belgium,106.56797625777274
1936-12-31,Stockholm,Belgium,105.52597826769673
1937-01-31,Stockholm,Belgium,107.32579297782802
1937-02-28,Stockholm,Belgium,111.3990578481251
1937-03-31,Stockholm,Belgium,112.34632874819418
1937-04-30,Stockholm,Belgium,112.15687456818038
1937-05-31,Stockholm,Belgium,112.53578292820801
1937-06-30,Stockholm,Belgium,113.76723509829782
1937-07-31,Stockholm,Belgium,114.71450599836692
1937-08-31,Stockholm,Belgium,114.80923308837383
1937-09-30,Stockholm,Belgium,114.33559763833928
1937-10-31,Stockholm,Belgium,116.41959361849129
1937-11-30,Stockholm,Belgium,113.67250800829092
1937-12-31,Stockholm,Belgium,113.4830538282771
1938-01-31,Stockholm,Belgium,114.71450599836692
1938-02-28,Stockholm,Belgium,115.661776898436
1938-03-31,Stockholm,Belgium,114.61977890836
1938-04-30,Stockholm,Belgium,113.00941837824256
1938-05-31,Stockholm,Belgium,111.3990578481251
1938-06-30,Stockholm,Belgium,111.49378493813201
1938-07-31,Stockholm,Belgium,112.44105583820111
1938-08-31,Stockholm,Belgium,112.25160165818728
1938-09-30,Stockholm,Belgium,106.66270334777964
1938-10-31,Stockholm,Belgium,112.15687456818038
1938-11-30,Stockholm,Belgium,110.26233276804219
1938-12-31,Stockholm,Belgium,107.79942842786255
1939-01-31,Stockholm,Belgium,101.9263488474342
1939-02-28,Stockholm,Belgium,104.57870736762764
1939-03-31,Stockholm,Belgium,103.82089064757237
1939-04-30,Stockholm,Belgium,97.37944852710255
1939-05-31,Stockholm,Belgium,101.73689466742037
1939-06-30,Stockholm,Belgium,98.13726524715781
1939-07-31,Stockholm,Belgium,95.10599836693675
1939-08-31,Stockholm,Belgium,93.21145656679855
1939-09-30,Stockholm,Belgium,75.68694491552037
1939-10-31,Stockholm,Belgium,67.8245964449469
1939-11-30,Stockholm,Belgium,62.51987940456001
1939-12-31,Stockholm,Belgium,51.531536963758555
1940-01-31,Stockholm,Belgium,55.32062056403491
1940-02-29,Stockholm,Belgium,69.34022988505745
1940-03-31,Stockholm,Belgium,69.7191382450851
1940-09-30,Stockholm,Belgium,45.27954902330255
1940-10-31,Stockholm,Belgium,47.36354500345455
1941-01-31,Stockholm,Belgium,54.56280384397964
1941-02-28,Stockholm,Belgium,57.97297908422837
1941-03-31,Stockholm,Belgium,41.30101124301237
1941-04-30,Stockholm,Belgium,42.248282143081454
1941-05-31,Stockholm,Belgium,62.51987940456001
1941-06-30,Stockholm,Belgium,68.5824131650022
1941-07-31,Stockholm,Belgium,56.45734564411782
1941-08-31,Stockholm,Belgium,70.47695496514037
1941-09-30,Stockholm,Belgium,64.03551284467055
1941-10-31,Stockholm,Belgium,58.73079580428364
1941-11-30,Stockholm,Belgium,56.83625400414546
1941-12-31,Stockholm,Belgium,53.80498712392437
1942-01-31,Stockholm,Belgium,62.140971044532364
1942-02-28,Stockholm,Belgium,60.246429244394186
1942-03-31,Stockholm,Belgium,58.35188744425601
1942-04-30,Stockholm,Belgium,62.140971044532364
1942-06-30,Stockholm,Belgium,34.48066076251491
1942-07-31,Stockholm,Belgium,37.13301928270836
1942-08-31,Stockholm,Belgium,35.23847748257018
1942-09-30,Stockholm,Belgium,46.98463664342692
1942-10-31,Stockholm,Belgium,59.86752088436655
1942-11-30,Stockholm,Belgium,66.49841718485018
1942-12-31,Stockholm,Belgium,66.30896300483637
1943-01-31,Stockholm,Belgium,73.50822184536146
1943-02-28,Stockholm,Belgium,78.43403052572073
1943-03-31,Stockholm,Belgium,78.81293888574837
1943-04-30,Stockholm,Belgium,81.46529740594183
1943-05-31,Stockholm,Belgium,80.70748068588655
1943-06-30,Stockholm,Belgium,87.90673952641164
1943-07-31,Stockholm,Belgium,88.28564788643928
1943-08-31,Stockholm,Belgium,88.66455624646692
1943-09-30,Stockholm,Belgium,98.13726524715781
1943-10-31,Stockholm,Belgium,99.65289868726838
1943-11-30,Stockholm,Belgium,90.93800640663274
1943-12-31,Stockholm,Belgium,91.31691476666036
1944-01-31,Stockholm,Belgium,92.83254820677092
1944-02-29,Stockholm,Belgium,98.8950819672131
1944-03-31,Stockholm,Belgium,100.41071540732364
1944-04-30,Stockholm,Belgium,98.51617360718546
