event,event_date,window,car_pct,z,overlaps
Boxer Rising: siege of the Peking legations begins; war declared on the powers,1900-06-20,1900-06-30..1900-08-31,-8.42,-2.96,True
Eight-Nation Alliance relieves Peking,1900-08-14,1900-07-31..1900-09-30,-6.11,-2.12,True
Wuchang rising: the Xinhai Revolution begins,1911-10-10,1911-09-30..1911-11-30,-4.29,-1.47,False
Germany seizes Kiaochow; scramble for concessions begins,1897-11-14,1897-10-31..1897-12-31,-3.94,-1.35,False
Coup ends the Hundred Days' Reform; Cixi resumes control,1898-09-21,1898-09-30..1898-11-30,-3.48,-1.19,False
Boxer Protocol: 450m tael indemnity secured on customs and salt revenue,1901-09-07,1901-08-31..1901-10-31,3.27,1.08,False
Battle of the Yalu: Beiyang fleet mauled,1894-09-17,1897-01-31..1897-03-31,2.26,0.75,True
Sino-French War: French destroy the Fujian fleet at Fuzhou,1884-08-23,1897-01-31..1897-03-31,2.26,0.75,True
Anglo-German indemnity loan (5% 1896) issued,1896-03-23,1897-01-31..1897-03-31,2.26,0.75,True
Treaty of Shimonoseki: 230m tael indemnity forces massive foreign borrowing,1895-04-17,1897-01-31..1897-03-31,2.26,0.75,True
Weihaiwei falls; Beiyang fleet annihilated,1895-02-12,1897-01-31..1897-03-31,2.26,0.75,True
Port Arthur falls to Japan,1894-11-21,1897-01-31..1897-03-31,2.26,0.75,True
First Sino-Japanese War opens (Battle of Pungdo),1894-07-25,1897-01-31..1897-03-31,2.26,0.75,True
Abdication of Puyi: the Qing dynasty ends; Republic under Yuan Shikai,1912-02-12,1912-01-31..1912-03-31,1.48,0.49,False
Deaths of the Guangxu Emperor and Empress Dowager Cixi; child emperor Puyi,1908-11-15,1908-10-31..1908-12-31,-1.08,-0.37,False
Hukuang Railways loan signed; railway-rights agitation in Sichuan,1911-05-20,1911-05-31..1911-07-31,0.00,0.00,False
