date,pct_change,candidate_event,event_date,days_after_event
1898-01-31,4.10,,,
1899-03-31,-8.91,,,
1899-05-31,5.46,,,
1899-12-31,-4.46,,,
1900-01-31,6.04,,,
1900-06-30,-5.26,Boxer Rising: siege of the Peking legations begins; war declared on the powers,1900-06-20,10.00
1900-07-31,-12.78,Boxer Rising: siege of the Peking legations begins; war declared on the powers,1900-06-20,41.00
1900-08-31,10.83,Eight-Nation Alliance relieves Peking,1900-08-14,17.00
1900-12-31,5.71,,,
1904-02-29,-6.51,Russo-Japanese War fought largely on Chinese soil,1904-02-08,21.00
