event,event_date,window,car_pct,z,overlaps
Nationalists take Peking; nominal reunification under Nanking,1928-06-08,1928-05-31..1928-07-31,6.56,1.07,False
Yuan Shikai dies; central authority dissolves into warlordism,1916-06-06,1916-05-31..1916-07-31,6.16,1.00,False
Zhili-Anhui war opens the warlord-war decade in the north,1920-07-14,1920-07-31..1920-09-30,5.30,0.87,False
May Thirtieth movement: anti-foreign strikes and boycotts,1925-05-30,1925-05-31..1925-07-31,-5.26,-0.91,False
Northern Expedition launched from Canton,1926-07-09,1926-06-30..1926-08-31,-3.62,-0.62,False
Japan presents the Twenty-One Demands,1915-01-18,1915-01-31..1915-03-31,-3.53,-0.60,False
Defaults spread across unsecured Chinese sterling obligations,1921-01-01,1920-12-31..1921-02-28,-2.33,-0.39,False
Second Revolution: KMT provinces rise against Yuan (crushed by September),1913-07-12,1913-09-30..1913-11-30,1.94,0.32,True
Reorganisation Loan (25m pounds) signed with the five-power consortium,1913-04-26,1913-09-30..1913-11-30,1.94,0.32,True
Nanking Incident: foreign consulates attacked; KMT-CCP split follows,1927-03-24,1928-01-31..1928-03-31,1.61,0.27,False
Second Zhili-Fengtian war,1924-09-15,1924-08-31..1924-10-31,0.00,0.00,False
