event,event_date,window,car_pct,z
Lee surrenders at Appomattox,1865-04-09,1865-03-31..1865-04-30,-53.85,-1.44
Richmond falls,1865-04-03,1865-03-31..1865-04-30,-53.85,-1.44
Gettysburg and fall of Vicksburg,1863-07-04,1863-08-31..1863-09-30,-48.33,-1.23
Hood's army destroyed at Nashville,1864-12-16,1864-12-31..1865-01-31,-40.00,-0.95
Lincoln re-elected (McClellan peace platform defeated),1864-11-08,1864-10-31..1864-11-30,-37.50,-0.88
Chattanooga: Bragg routed,1863-11-25,1863-11-30..1863-12-31,-30.30,-0.67
Chickamauga (CSA victory),1863-09-20,1863-09-30..1863-10-31,-29.03,-0.64
Wilderness/Spotsylvania: Grant's costly advance stalls,1864-05-12,1864-04-30..1864-05-31,-22.22,-0.47
Fall of Atlanta,1864-09-02,1864-08-31..1864-09-30,-17.24,-0.35
Jubal Early's army at the outskirts of Washington,1864-07-11,1864-06-30..1864-07-31,3.57,0.07
