date,pct_change,candidate_event,event_date,days_after_event
1862-10-31,-7.82,Preliminary Emancipation Proclamation,1862-09-22,39.00
1863-01-31,-8.86,Third Legal Tender Act recommended (Ways & Means),1863-01-08,23.00
1863-02-28,-8.85,,,
1863-07-31,10.69,Gettysburg and fall of Vicksburg,1863-07-04,27.00
1863-10-31,-9.13,,,
1864-06-30,-16.23,Gold Act (attempt to close gold room); gold corner peak,1864-06-17,13.00
1864-07-31,-18.53,Jubal Early's army at the outskirts of Washington,1864-07-11,20.00
1864-09-30,13.96,Fall of Atlanta,1864-09-02,28.00
1864-11-30,-11.39,Lincoln re-elected (McClellan peace platform defeated),1864-11-08,22.00
1865-03-31,18.07,McCulloch nominated Treasury Secretary,1865-03-08,23.00
1865-04-30,17.04,Lee surrenders at Appomattox,1865-04-09,21.00
1865-05-31,9.51,,,
