date,pct_change,candidate_event,event_date,days_after_event
1869-09-30,-3.14,,,
1870-06-30,-2.75,,,
1870-07-31,-8.78,France declares war on Prussia,1870-07-19,12.00
1870-08-31,-8.23,Gravelotte-St Privat; Bazaine shut up in Metz,1870-08-18,13.00
1870-09-30,-9.47,Siege of Paris begins,1870-09-19,11.00
1870-10-31,-2.73,Metz capitulates: Bazaine surrenders 180000 men,1870-10-27,4.00
1871-04-30,-5.09,Paris Commune seizes power,1871-03-18,43.00
1871-05-31,3.41,Bloody Week ends: Commune crushed,1871-05-28,3.00
1871-07-31,4.27,First Thiers rente (2bn francs) heavily oversubscribed,1871-06-27,34.00
1873-02-28,3.29,,,
1874-08-31,4.76,,,
1874-10-31,-3.52,,,
