date,pct_change,candidate_event,event_date,days_after_event
1870-07-31,-28.30,Franco-Prussian war removes France as the Porte's chief creditor-patron,1870-07-19,12.00
1875-10-31,-26.24,Ramazan decree: interest on the debt halved - partial default,1875-10-06,25.00
1876-04-30,-22.06,,,
1876-05-31,-20.75,Sultan Abduelaziz deposed (dead days later); Murad V installed,1876-05-30,1.00
1876-06-30,23.81,Sultan Abduelaziz deposed (dead days later); Murad V installed,1876-05-30,31.00
1876-10-31,-15.09,,,
1877-04-30,-38.59,Russia declares war,1877-04-24,6.00
1877-12-31,-15.00,Plevna falls after five-month siege,1877-12-10,21.00
1878-06-30,71.05,,,
1881-04-30,20.75,,,
1883-03-31,-26.47,,,
1884-08-31,38.24,,,
