date,pct_change,candidate_event,event_date,days_after_event
1917-11-30,-13.53,October Revolution: Bolsheviks seize power,1917-11-07,23.00
1920-04-30,-17.91,Polish offensive takes Kiev (Soviet-Polish war),1920-04-25,5.00
1920-05-31,-23.64,Polish offensive takes Kiev (Soviet-Polish war),1920-04-25,36.00
1920-06-30,28.57,,,
1920-09-30,-20.00,Miracle on the Vistula: Poles rout Red Army at Warsaw,1920-08-16,45.00
1920-12-31,-21.95,,,
1921-02-28,-16.67,,,
1921-03-31,16.00,Peace of Riga; Kronstadt rebellion crushed,1921-03-18,13.00
1921-06-30,-13.79,,,
1921-09-30,-29.17,,,
1921-12-31,52.63,,,
1922-04-30,18.52,Genoa conference & Rapallo treaty (debt-settlement hopes dashed),1922-04-16,14.00
1923-02-28,23.53,,,
1923-09-30,37.50,,,
