event,event_date,window,car_pct,z,overlaps
Russo-German armistice at Brest-Litovsk,1917-12-15,1917-11-30..1918-01-31,-27.07,-4.47,True
October Revolution: Bolsheviks seize power,1917-11-07,1917-10-31..1917-12-31,-26.06,-4.28,True
Amiens: 'black day of the German Army',1918-08-08,1918-07-31..1918-09-30,18.37,2.39,True
Second Marne: Allied counterattack,1918-07-18,1918-07-31..1918-09-30,18.37,2.39,True
Bulgaria signs armistice; Hindenburg demands peace,1918-09-29,1918-09-30..1918-11-30,17.59,2.30,True
Bolshevik repudiation of Tsarist debts (decree of 3 Feb),1918-02-10,1918-01-31..1918-03-31,-9.52,-1.42,True
German Spring Offensive (Michael) begins,1918-03-21,1918-03-31..1918-05-31,-9.28,-1.38,True
Kerensky Offensive collapses,1917-07-16,1917-07-31..1917-09-30,-6.58,-0.96,False
Brusilov Offensive begins: Austrian front collapses,1916-06-04,1916-05-31..1916-07-31,6.16,0.85,False
Austria-Hungary declares war on Serbia,1914-07-28,1914-07-31..1915-02-28,-5.88,-0.86,True
Britain enters the war; general European war,1914-08-04,1914-07-31..1915-02-28,-5.88,-0.86,True
Armistice: Germany defeated,1918-11-11,1918-10-31..1918-12-31,4.31,0.60,True
Gorlice-Tarnow breakthrough begins,1915-05-04,1915-04-30..1915-06-30,-4.29,-0.62,False
United States declares war on Germany,1917-04-06,1917-03-31..1917-05-31,-4.27,-0.62,True
Treaty of Brest-Litovsk signed,1918-03-03,1918-02-28..1918-04-30,-4.12,-0.60,True
Ottoman entry closes the Straits (Russian trade cut),1914-11-05,1915-01-31..1915-03-31,3.49,0.49,True
Tannenberg: Russian 2nd Army destroyed,1914-08-30,1915-01-31..1915-03-31,3.49,0.49,True
First Marne: German advance on Paris stopped,1914-09-12,1915-01-31..1915-03-31,3.49,0.49,True
February Revolution: Tsar abdicates,1917-03-15,1917-02-28..1917-04-30,2.44,0.34,True
Romania joins the Entente,1916-08-27,1916-08-31..1916-10-31,-2.21,-0.32,False
Verdun offensive begins,1916-02-21,1916-02-29..1916-04-30,1.79,0.25,False
Fall of Warsaw (Russian Great Retreat),1915-08-05,1915-07-31..1915-09-30,-0.13,-0.02,False
