date,pct_change,candidate_event,event_date,days_after_event
1939-09-30,-17.71,Germany invades Poland; war begins,1939-09-01,29.00
1941-02-28,-53.85,,,
1941-07-31,10.00,Operation Barbarossa: invasion of the USSR,1941-06-22,39.00
1941-08-31,10.61,,,
1941-11-30,14.71,,,
1942-09-30,8.97,,,
1943-02-28,18.29,Surrender of the 6th Army at Stalingrad,1943-02-02,26.00
1943-06-30,13.33,,,
1943-08-31,8.72,,,
1944-06-30,21.82,Operation Bagration destroys Army Group Centre,1944-06-22,8.00
1944-12-31,-10.71,Ardennes offensive (Battle of the Bulge),1944-12-16,15.00
1945-10-31,9.09,,,
