date,pct_change,candidate_event,event_date,days_after_event
1939-09-30,-13.25,Germany invades Poland; war begins,1939-09-01,29.00
1939-10-31,-31.25,,,
1940-03-31,-13.51,,,
1941-01-31,-60.58,,,
1941-03-31,32.50,,,
1941-05-31,26.92,,,
1943-07-31,17.65,Kursk: last German strategic offensive fails,1943-07-12,19.00
1944-06-30,25.55,Operation Bagration destroys Army Group Centre,1944-06-22,8.00
1944-07-31,16.28,Operation Bagration destroys Army Group Centre,1944-06-22,39.00
1944-08-31,14.00,Liberation of Paris,1944-08-25,6.00
1945-06-30,19.09,,,
1945-08-31,-13.18,,,
