date,pct_change,candidate_event,event_date,days_after_event
1938-08-31,-16.38,Czech crisis: German mobilization / war scare,1938-08-15,16.00
1939-01-31,-19.54,Schacht dismissed from the Reichsbank,1939-01-20,11.00
1939-04-30,-12.14,,,
1939-08-31,-13.85,Molotov-Ribbentrop pact,1939-08-23,8.00
1939-09-30,-48.21,Germany invades Poland; war begins,1939-09-01,29.00
1939-10-31,17.24,,,
1940-01-31,15.00,,,
1940-07-31,50.00,Fall of France: armistice at Compiegne,1940-06-22,39.00
1940-10-31,13.64,,,
1945-02-28,-43.33,Yalta conference ends,1945-02-11,17.00
1945-03-31,26.47,,,
1945-05-31,14.29,German unconditional surrender,1945-05-08,23.00
